Date,Calendar Year,Month Name,Month Number,Quarter,ID
01/07/1900,1900,July,7,Q3,182
02/07/1900,1900,July,7,Q3,183
03/07/1900,1900,July,7,Q3,184
04/07/1900,1900,July,7,Q3,185
05/07/1900,1900,July,7,Q3,186
06/07/1900,1900,July,7,Q3,187
07/07/1900,1900,July,7,Q3,188
08/07/1900,1900,July,7,Q3,189
09/07/1900,1900,July,7,Q3,190
10/07/1900,1900,July,7,Q3,191
11/07/1900,1900,July,7,Q3,192
12/07/1900,1900,July,7,Q3,193
13/07/1900,1900,July,7,Q3,194
14/07/1900,1900,July,7,Q3,195
15/07/1900,1900,July,7,Q3,196
16/07/1900,1900,July,7,Q3,197
17/07/1900,1900,July,7,Q3,198
18/07/1900,1900,July,7,Q3,199
19/07/1900,1900,July,7,Q3,200
20/07/1900,1900,July,7,Q3,201
21/07/1900,1900,July,7,Q3,202
22/07/1900,1900,July,7,Q3,203
23/07/1900,1900,July,7,Q3,204
24/07/1900,1900,July,7,Q3,205
25/07/1900,1900,July,7,Q3,206
26/07/1900,1900,July,7,Q3,207
27/07/1900,1900,July,7,Q3,208
28/07/1900,1900,July,7,Q3,209
29/07/1900,1900,July,7,Q3,210
30/07/1900,1900,July,7,Q3,211
31/07/1900,1900,July,7,Q3,212
01/07/1901,1901,July,7,Q3,547
02/07/1901,1901,July,7,Q3,548
03/07/1901,1901,July,7,Q3,549
04/07/1901,1901,July,7,Q3,550
05/07/1901,1901,July,7,Q3,551
06/07/1901,1901,July,7,Q3,552
07/07/1901,1901,July,7,Q3,553
08/07/1901,1901,July,7,Q3,554
09/07/1901,1901,July,7,Q3,555
10/07/1901,1901,July,7,Q3,556
11/07/1901,1901,July,7,Q3,557
12/07/1901,1901,July,7,Q3,558
13/07/1901,1901,July,7,Q3,559
14/07/1901,1901,July,7,Q3,560
15/07/1901,1901,July,7,Q3,561
16/07/1901,1901,July,7,Q3,562
17/07/1901,1901,July,7,Q3,563
18/07/1901,1901,July,7,Q3,564
19/07/1901,1901,July,7,Q3,565
20/07/1901,1901,July,7,Q3,566
21/07/1901,1901,July,7,Q3,567
22/07/1901,1901,July,7,Q3,568
23/07/1901,1901,July,7,Q3,569
24/07/1901,1901,July,7,Q3,570
25/07/1901,1901,July,7,Q3,571
26/07/1901,1901,July,7,Q3,572
27/07/1901,1901,July,7,Q3,573
28/07/1901,1901,July,7,Q3,574
29/07/1901,1901,July,7,Q3,575
30/07/1901,1901,July,7,Q3,576
31/07/1901,1901,July,7,Q3,577
01/07/1902,1902,July,7,Q3,912
02/07/1902,1902,July,7,Q3,913
03/07/1902,1902,July,7,Q3,914
04/07/1902,1902,July,7,Q3,915
05/07/1902,1902,July,7,Q3,916
06/07/1902,1902,July,7,Q3,917
07/07/1902,1902,July,7,Q3,918
08/07/1902,1902,July,7,Q3,919
09/07/1902,1902,July,7,Q3,920
10/07/1902,1902,July,7,Q3,921
11/07/1902,1902,July,7,Q3,922
12/07/1902,1902,July,7,Q3,923
13/07/1902,1902,July,7,Q3,924
14/07/1902,1902,July,7,Q3,925
15/07/1902,1902,July,7,Q3,926
16/07/1902,1902,July,7,Q3,927
17/07/1902,1902,July,7,Q3,928
18/07/1902,1902,July,7,Q3,929
19/07/1902,1902,July,7,Q3,930
20/07/1902,1902,July,7,Q3,931
21/07/1902,1902,July,7,Q3,932
22/07/1902,1902,July,7,Q3,933
23/07/1902,1902,July,7,Q3,934
24/07/1902,1902,July,7,Q3,935
25/07/1902,1902,July,7,Q3,936
26/07/1902,1902,July,7,Q3,937
27/07/1902,1902,July,7,Q3,938
28/07/1902,1902,July,7,Q3,939
29/07/1902,1902,July,7,Q3,940
30/07/1902,1902,July,7,Q3,941
31/07/1902,1902,July,7,Q3,942
01/07/1903,1903,July,7,Q3,1277
02/07/1903,1903,July,7,Q3,1278
03/07/1903,1903,July,7,Q3,1279
04/07/1903,1903,July,7,Q3,1280
05/07/1903,1903,July,7,Q3,1281
06/07/1903,1903,July,7,Q3,1282
07/07/1903,1903,July,7,Q3,1283
08/07/1903,1903,July,7,Q3,1284
09/07/1903,1903,July,7,Q3,1285
10/07/1903,1903,July,7,Q3,1286
11/07/1903,1903,July,7,Q3,1287
12/07/1903,1903,July,7,Q3,1288
13/07/1903,1903,July,7,Q3,1289
14/07/1903,1903,July,7,Q3,1290
15/07/1903,1903,July,7,Q3,1291
16/07/1903,1903,July,7,Q3,1292
17/07/1903,1903,July,7,Q3,1293
18/07/1903,1903,July,7,Q3,1294
19/07/1903,1903,July,7,Q3,1295
20/07/1903,1903,July,7,Q3,1296
21/07/1903,1903,July,7,Q3,1297
22/07/1903,1903,July,7,Q3,1298
23/07/1903,1903,July,7,Q3,1299
24/07/1903,1903,July,7,Q3,1300
25/07/1903,1903,July,7,Q3,1301
26/07/1903,1903,July,7,Q3,1302
27/07/1903,1903,July,7,Q3,1303
28/07/1903,1903,July,7,Q3,1304
29/07/1903,1903,July,7,Q3,1305
30/07/1903,1903,July,7,Q3,1306
31/07/1903,1903,July,7,Q3,1307
01/07/1904,1904,July,7,Q3,1643
02/07/1904,1904,July,7,Q3,1644
03/07/1904,1904,July,7,Q3,1645
04/07/1904,1904,July,7,Q3,1646
05/07/1904,1904,July,7,Q3,1647
06/07/1904,1904,July,7,Q3,1648
07/07/1904,1904,July,7,Q3,1649
08/07/1904,1904,July,7,Q3,1650
09/07/1904,1904,July,7,Q3,1651
10/07/1904,1904,July,7,Q3,1652
11/07/1904,1904,July,7,Q3,1653
12/07/1904,1904,July,7,Q3,1654
13/07/1904,1904,July,7,Q3,1655
14/07/1904,1904,July,7,Q3,1656
15/07/1904,1904,July,7,Q3,1657
16/07/1904,1904,July,7,Q3,1658
17/07/1904,1904,July,7,Q3,1659
18/07/1904,1904,July,7,Q3,1660
19/07/1904,1904,July,7,Q3,1661
20/07/1904,1904,July,7,Q3,1662
21/07/1904,1904,July,7,Q3,1663
22/07/1904,1904,July,7,Q3,1664
23/07/1904,1904,July,7,Q3,1665
24/07/1904,1904,July,7,Q3,1666
25/07/1904,1904,July,7,Q3,1667
26/07/1904,1904,July,7,Q3,1668
27/07/1904,1904,July,7,Q3,1669
28/07/1904,1904,July,7,Q3,1670
29/07/1904,1904,July,7,Q3,1671
30/07/1904,1904,July,7,Q3,1672
31/07/1904,1904,July,7,Q3,1673
01/07/1905,1905,July,7,Q3,2008
02/07/1905,1905,July,7,Q3,2009
03/07/1905,1905,July,7,Q3,2010
04/07/1905,1905,July,7,Q3,2011
05/07/1905,1905,July,7,Q3,2012
06/07/1905,1905,July,7,Q3,2013
07/07/1905,1905,July,7,Q3,2014
08/07/1905,1905,July,7,Q3,2015
09/07/1905,1905,July,7,Q3,2016
10/07/1905,1905,July,7,Q3,2017
11/07/1905,1905,July,7,Q3,2018
12/07/1905,1905,July,7,Q3,2019
13/07/1905,1905,July,7,Q3,2020
14/07/1905,1905,July,7,Q3,2021
15/07/1905,1905,July,7,Q3,2022
16/07/1905,1905,July,7,Q3,2023
17/07/1905,1905,July,7,Q3,2024
18/07/1905,1905,July,7,Q3,2025
19/07/1905,1905,July,7,Q3,2026
